,3G_GPS_Alt,3G_GPS_Lat,3G_GPS_Lon,3G_L_Kp2,3G_L_Kp6,3G_MLT_Kp2_T89c,3G_MLT_Kp6_T89c,3F_GPS_Alt,3F_GPS_Lat,3F_GPS_Lon,3F_L_Kp2,3F_L_Kp6,3F_MLT_Kp2_T89c,3F_MLT_Kp6_T89c,dist_km
2015-08-25 09:15:43.167032,5.004198,67.90593,21.175816,5.73,6.47,11.99,11.99,36.34495,68.063385,21.156187,5.82,6.61,12.0,12.0,17.527351
2015-08-25 09:15:47.166536,5.022342,67.90592,21.176367,5.73,6.47,11.99,11.99,36.34492,68.06352,21.155985,5.82,6.61,12.0,12.0,17.544945
2015-08-25 09:15:51.166039,5.040431,67.90591,21.176918,5.73,6.47,12.0,12.0,36.344833,68.06366,21.15578,5.82,6.61,12.0,12.0,17.563442
2015-08-25 09:15:55.165543,5.058591,67.905876,21.177479,5.73,6.47,12.0,12.0,36.344677,68.0638,21.155573,5.82,6.61,12.01,12.01,17.583717
2015-08-25 09:15:59.165046,5.076752,67.905846,21.178053,5.73,6.47,12.0,12.0,36.344482,68.06394,21.155365,5.82,6.61,12.01,12.01,17.604925
2015-08-25 09:16:03.164550,5.094915,67.90582,21.178652,5.73,6.47,12.0,12.0,36.344257,68.06407,21.155151,5.82,6.61,12.01,12.01,17.623718
2015-08-25 09:16:07.164053,5.113237,67.905785,21.179272,5.73,6.47,12.0,12.0,36.34401,68.06422,21.154936,5.82,6.61,12.01,12.01,17.646013
2015-08-25 09:16:11.163556,5.131565,67.90577,21.179903,5.73,6.47,12.0,12.0,36.34369,68.06435,21.154718,5.82,6.61,12.01,12.01,17.664171
2015-08-25 09:16:15.163060,5.149913,67.90576,21.180542,5.73,6.47,12.0,12.0,36.34334,68.06448,21.154501,5.82,6.61,12.01,12.01,17.682417
2015-08-25 09:16:19.162563,5.168311,67.90574,21.181177,5.73,6.47,12.0,12.0,36.343018,68.06462,21.154278,5.82,6.61,12.01,12.01,17.702429
2015-08-25 09:16:23.162067,5.186775,67.90572,21.18181,5.73,6.47,12.0,12.0,36.342705,68.06476,21.154053,5.83,6.61,12.01,12.01,17.72166
2015-08-25 09:16:27.161570,5.205192,67.90571,21.18244,5.73,6.47,12.01,12.01,36.34236,68.064896,21.153824,5.83,6.61,12.01,12.01,17.74096
2015-08-25 09:16:31.161074,5.223704,67.905685,21.183022,5.73,6.47,12.01,12.01,36.34202,68.065025,21.153595,5.83,6.61,12.02,12.02,17.760191
2015-08-25 09:16:35.160577,5.2422,67.905655,21.183558,5.73,6.47,12.01,12.01,36.341686,68.06516,21.15336,5.83,6.61,12.02,12.02,17.781055
2015-08-25 09:16:39.160081,5.26068,67.90562,21.18408,5.73,6.47,12.01,12.01,36.34137,68.0653,21.153126,5.83,6.61,12.02,12.02,17.802778
2015-08-25 09:16:43.159584,5.279269,67.90558,21.18464,5.73,6.47,12.01,12.01,36.341084,68.06544,21.152887,5.83,6.6,12.02,12.02,17.824678
2015-08-25 09:16:47.159087,5.298,67.90552,21.185205,5.73,6.47,12.01,12.01,36.340862,68.06557,21.152647,5.83,6.6,12.02,12.02,17.848349
2015-08-25 09:16:51.158591,5.316797,67.90546,21.185785,5.73,6.47,12.01,12.01,36.340694,68.065704,21.152403,5.83,6.6,12.02,12.02,17.872984
2015-08-25 09:16:55.158094,5.335827,67.9054,21.186459,5.73,6.47,12.01,12.01,36.34057,68.06584,21.152157,5.83,6.6,12.02,12.02,17.897148
2015-08-25 09:16:59.157598,5.35489,67.905365,21.187128,5.73,6.47,12.01,12.01,36.340477,68.06597,21.15191,5.83,6.6,12.02,12.02,17.918837
2015-08-25 09:17:03.157101,5.373973,67.90535,21.187819,5.73,6.47,12.02,12.02,36.3404,68.06611,21.15166,5.83,6.6,12.02,12.02,17.938995
2015-08-25 09:17:07.156605,5.393053,67.90533,21.18853,5.73,6.47,12.02,12.02,36.340393,68.06624,21.15141,5.83,6.6,12.03,12.03,17.959318
2015-08-25 09:17:11.156108,5.412172,67.90529,21.189255,5.73,6.47,12.02,12.02,36.34043,68.066376,21.151155,5.83,6.6,12.03,12.03,17.982311
2015-08-25 09:17:15.155612,5.431305,67.90526,21.18998,5.73,6.47,12.02,12.02,36.340557,68.06651,21.1509,5.83,6.6,12.03,12.03,18.004553
2015-08-25 09:17:19.155115,5.450444,67.90523,21.190655,5.73,6.47,12.02,12.02,36.34078,68.06665,21.150644,5.83,6.6,12.03,12.03,18.026688
2015-08-25 09:17:23.154618,5.469379,67.90521,21.191278,5.73,6.47,12.02,12.02,36.341064,68.06678,21.150387,5.83,6.6,12.03,12.03,18.046167
2015-08-25 09:17:27.154122,5.488187,67.905205,21.191875,5.73,6.47,12.02,12.02,36.341408,68.06692,21.150126,5.83,6.6,12.03,12.03,18.065624
2015-08-25 09:17:31.153625,5.507023,67.905174,21.19245,5.73,6.47,12.02,12.02,36.341805,68.067055,21.149866,5.83,6.6,12.03,12.03,18.087578
2015-08-25 09:17:35.153129,5.525738,67.90515,21.193022,5.73,6.47,12.02,12.02,36.34231,68.06719,21.149605,5.83,6.6,12.03,12.03,18.108746
2015-08-25 09:17:39.152632,5.544372,67.90512,21.193653,5.73,6.47,12.03,12.03,36.342884,68.06733,21.14934,5.83,6.6,12.03,12.03,18.131084
2015-08-25 09:17:43.152136,5.563109,67.905075,21.194275,5.73,6.47,12.03,12.03,36.3435,68.06747,21.149076,5.83,6.6,12.03,12.03,18.155127
